,ID,Severity,Start_Time,End_Time,Distance(mi),Description,Number,Street,Side,City,State,Zipcode,Country,Timezone,Weather_Timestamp,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Precipitation(in),Weather_Condition
0,A-3,2,2/8/2016 6:15,2/8/2016 12:15,0.055,At I-71/US-50/Exit 1 - Accident.,,I-75 S,R,Cincinnati,OH,45203,US,US/Eastern,2/8/2016 5:53,36,97,29.7,10,0.02,Overcast
1,A-7,2,2/8/2016 8:15,2/8/2016 14:15,0.227,At OH-4/Exit 54 - Accident.,,I-75 S,R,Dayton,OH,45404,US,US/Eastern,2/8/2016 8:18,33.8,100,29.63,3,,Mostly Cloudy
2,A-11,2,2/8/2016 15:43,2/8/2016 21:43,0.307,At OH-4/Paddock Rd/Exit 9 - Accident.,,I-75 N,R,Cincinnati,OH,45216,US,US/Eastern,2/8/2016 15:47,33.8,100,29.66,3,0.03,Light Snow
3,A-15,3,2/8/2016 18:11,2/9/2016 0:11,0.004,At Shipley Rd - Accident.,48999, Titus Rd,R,Freeport,OH,43973,US,US/Eastern,2/8/2016 18:23,33.1,92,29.62,10,,Mostly Cloudy
4,A-19,3,2/8/2016 20:13,2/9/2016 2:13,0.999,Between Weber Rd/Exit 113 and Hudson St/Exit 112 - Accident.,,North Fwy S,R,Columbus,OH,43224,US,US/Eastern,2/8/2016 20:12,33.8,100,29.63,1,0,Light Snow
5,A-23,2,2/9/2016 5:54,2/9/2016 11:54,0.789,Between Broadway/Exit 114 and Weber Rd/Exit 113 - Accident.,,North Fwy N,R,Columbus,OH,43224,US,US/Eastern,2/9/2016 5:51,25,88,29.65,1,0.02,Light Snow
6,A-27,4,2/9/2016 7:28,2/9/2016 13:28,2.484,Closed between OH-844/Fairfield Rd/Exit 17 and Colonel Glenn Hwy/Exit 15 - Road closed due to accident.,,I-675 S,R,Fairborn,OH,45324,US,US/Eastern,2/9/2016 7:08,23,86,29.68,1.5,,Light Snow
7,A-31,3,2/9/2016 7:48,2/9/2016 13:48,8.429,Between US-421/Exit 123 and US-421/Exit 132 - Accident.,,US-421 S,R,Saint Paul,IN,47272,US,US/Eastern,2/9/2016 7:48,21.2,86,29.75,3,0,Light Snow
8,A-35,2,2/9/2016 9:07,2/9/2016 15:07,0.181,At M-50/Exit 17 - Accident.,,US-23 N,R,Dundee,MI,48131,US,US/Eastern,2/9/2016 9:14,30.2,93,29.58,1.2,,Light Snow
9,A-39,2,2/9/2016 12:31,2/9/2016 18:31,0.118,At Venture St/Exit 10 - Accident.,,US-19 Trk S,R,Pittsburgh,PA,15214,US,US/Eastern,2/9/2016 12:53,28.9,82,29.61,1,0,Light Snow
10,A-43,4,2/9/2016 18:20,2/10/2016 0:20,6.69,Closed between IN-26 and IN-67 - Road closed due to accident.,9001, W State Road 26,R,Dunkirk,IN,47336,US,US/Eastern,2/9/2016 18:20,19.9,81,29.85,2,0,Light Snow
11,A-47,4,2/10/2016 6:17,2/10/2016 12:17,0.792,Closed between US-33/Dublin Rd and Goodale St - Road closed due to accident.,,W Innerbelt N,R,Columbus,OH,43215,US,US/Eastern,2/10/2016 6:19,15.8,73,29.87,4,0,Light Snow
12,A-51,2,2/10/2016 8:35,2/10/2016 14:35,0.824,Between Irish Rd and Blystone Rd - Accident.,25529, Highway 99,L,Cambridge Springs,PA,16403,US,US/Eastern,2/10/2016 8:34,21,85,29.69,1,0,Light Snow
13,A-55,2,2/10/2016 8:48,2/10/2016 14:48,0.879,Between James Whitcomb Riley Service Area and Eastpoint Barrier Toll Plaza - Accident.,,I-90 E,R,Fremont,IN,46737,US,US/Eastern,2/10/2016 8:55,17.6,93,29.83,2,,
14,A-59,3,2/10/2016 9:08,2/10/2016 15:08,0,At Bank St/Exit 1 - Accident.,,Henry Watterson Expy W,R,Louisville,KY,40212,US,US/Eastern,2/10/2016 8:56,17.1,68,30.12,10,0,Mostly Cloudy
15,A-63,2,2/10/2016 10:21,2/10/2016 16:21,0.441,At US-6/Exit 166 - Accident.,,I-79 N,R,Edinboro,PA,16412,US,US/Eastern,2/10/2016 10:16,24.1,77,29.72,0.8,0.04,Light Snow
16,A-67,2,2/10/2016 12:54,2/10/2016 18:54,0.462,At I-490/Exit 161 - Accident.,3937, Iron Ct,L,Cleveland,OH,44115,US,US/Eastern,2/10/2016 12:53,24.1,75,29.82,2,0,Light Snow
17,A-71,4,2/10/2016 14:59,2/10/2016 20:59,4.82,Closed between Vrooman Rd/Exit 205 and OH-44/Exit 200 - Road closed due to accident.,,I-90 W,R,Painesville,OH,44077,US,US/Eastern,2/10/2016 14:45,19.4,86,29.82,3,,Light Snow
18,A-75,4,2/10/2016 16:06,2/10/2016 22:06,6.363,Closed between US-19/Exit 30 and Ten Mile Rd/Exit 23 - Road closed due to accident.,,I-79 S,R,Washington,PA,15301,US,US/Eastern,2/10/2016 16:15,19.4,74,29.84,3,,Overcast
19,A-79,4,2/11/2016 5:25,2/11/2016 11:25,0.1,Closed at Ohio/Indiana State Line - Road closed due to accident.,,I-90 E,R,Angola,IN,46703,US,US/Eastern,2/11/2016 5:35,12.2,92,30.09,9,,Overcast
20,A-83,4,2/11/2016 6:25,2/11/2016 12:25,2.038,Closed between OH-49/Exit 2 and Indiana/Ohio State Line - Road closed due to accident.,,I-80 W,R,Edon,OH,43518,US,US/Eastern,2/11/2016 6:35,12.2,92,30.12,10,,Overcast
21,A-87,3,2/11/2016 6:53,2/11/2016 12:53,1.101,Between Crittenden and Visalia - Accident.,15983, Madison Pike,R,De Mossville,KY,41033-9698,US,US/Eastern,2/11/2016 6:52,12,77,30.24,10,,Overcast
22,A-91,2,2/11/2016 7:20,2/11/2016 13:20,0.037,Between Tennis Club Rd and Smith Rd - Accident.,201, Oakwood Rd,L,Charleston,WV,25314-2335,US,US/Eastern,2/11/2016 6:54,16,59,30.22,10,0,Mostly Cloudy
23,A-95,2,2/11/2016 7:47,2/11/2016 13:47,0.134,At Henderson Rd - Accident.,,Olentangy Fwy S,R,Columbus,OH,43214,US,US/Eastern,2/11/2016 7:53,9,84,30.24,10,,Overcast
